year,name,dam,death,female,masfem,category,pressure,wind,log_death,log_dam,post,zdam,zcat,zmin,zwin,z3,feminity,damage
1950,Easy,2380,2,0,5.40625,3,960,125,1.0986122886681098,7.77485576666552,0,-0.42866703287786606,0.8281862101650826,0.20179748687425877,-0.02006243612107195,0.3366404203060898,0,2380
1950,King,7220,4,0,1.59375,4,955,134,1.6094379124341003,8.884610231886873,0,-0.2142111951581869,1.766132038544815,0.45138911537663323,0.2725724079897336,0.8300311873037272,0,7220
1952,Able,210,3,0,2.96875,1,985,125,1.3862943611198906,5.3471075307174685,0,-0.5248176873926809,-1.0477054465943818,-1.0461606556376137,-0.02006243612107195,-0.7046428461176891,0,210
1953,Barbara,78,1,1,8.625,1,987,75,0.6931471805599453,4.356708826689592,0,-0.5306664829668539,-1.0477054465943818,-1.1459973070385634,-1.6458115700699916,-1.2798381079009788,1,78
1953,Florence,21,0,1,7.875,1,985,115,0,3.044522437723423,0,-0.5331920992375195,-1.0477054465943818,-1.0461606556376137,-0.3452122629108559,-0.8130261217142838,1,21
1954,Carol,24962,60,1,8.53125,3,960,115,4.110873864173311,10.1251099474784,0,0.5719201008795294,0.8281862101650826,0.20179748687425877,-0.3452122629108559,0.2282571447094952,1,24962
1954,Edna,4010,20,1,7.625,3,954,125,3.044522437723423,8.296546520300614,0,-0.35644326934830467,0.8281862101650826,0.5013074410771081,-0.02006243612107195,0.4364770717070396,1,4010
1954,Hazel,36450,20,1,8.21875,4,938,134,3.044522437723423,10.503696737436805,0,1.0809425520621068,1.766132038544815,1.3000006522847065,0.2725724079897336,1.1129016996064183,1,36450
1955,Connie,2710,0,1,8,3,962,137,0,7.904703913873747,0,-0.41404504394243336,0.8281862101650826,0.10196083547330898,0.3701173560266688,0.4334214672216868,1,2710
1955,Diane,52990,200,1,8.875,1,987,103,5.303304908059076,10.877858495486807,0,1.813814361128944,-1.0477054465943818,-1.1459973070385634,-0.7353920550585966,-0.9763649362305141,1,52990
1955,Ione,8410,7,1,6.21875,3,960,140,2.0794415416798357,9.037176752966994,0,-0.16148341687586912,0.8281862101650826,0.20179748687425877,0.46766230406360393,0.49921533370098176,1,8410
1956,Flossy,2060,15,1,7.21875,2,975,90,2.772588722239781,7.630461261783627,0,-0.4428459312394977,-0.10975961821464962,-0.5469773986328647,-1.1580868298853157,-0.6049412822442767,1,2060
1957,Audrey,4750,416,1,8.59375,3,946,127,6.0330862217988015,8.465899897028686,0,-0.3236545668870314,0.8281862101650826,0.9006540466809073,0.04496752923688484,0.5912692620276249,1,4750
1958,Helene,778,1,1,8.8125,3,946,150,0.6931471805599453,6.656726524178391,0,-0.4996501428007846,0.8281862101650826,0.9006540466809073,0.7928121308533879,0.8405507958997926,1,778
1959,Debra,620,0,1,8.4375,1,984,85,0,6.429719478039138,0,-0.5066509738668403,-1.0477054465943818,-0.9962423299371387,-1.3206617432802077,-1.1215365066039096,1,620
1959,Gracie,710,22,1,9.53125,3,950,140,3.1354942159291497,6.565264970035361,0,-0.5026631587026313,0.8281862101650826,0.7009807438790078,0.46766230406360393,0.6656097527025647,1,710
1960,Donna,78260,50,1,8.875,4,930,143,3.9318256327243257,11.267791895764404,0,2.9335042411240453,1.766132038544815,1.6993472578885056,0.5652072521005391,1.3435621828446198,1,78260
1960,Ethel,45,0,1,7.0625,1,981,115,0,3.8066624897703196,0,-0.5321286818603972,-1.0477054465943818,-0.8464873528357141,-0.3452122629108559,-0.7464683541136505,1,45
1961,Carla,22270,46,1,8.625,4,931,174,3.8501476017100584,10.010995760251413,0,0.45264011841230295,1.766132038544815,1.6494289321880307,1.5731717151488693,1.662910895293905,1,22270
1963,Cindy,410,3,1,8.9375,1,996,80,1.3862943611198906,6.016157159698354,0,-0.515955875916661,-1.0477054465943818,-1.5952622383428374,-1.4832366566750996,-1.3754014472041065,1,410
1964,Cleo,8750,3,1,7.125,2,968,155,1.3862943611198906,9.07680897935166,0,-0.14641833736663545,-0.10975961821464962,-0.1975491187295404,0.9553870442482798,0.21602610243469658,1,8750
1964,Dora,22720,5,1,8.28125,2,966,134,1.791759469228055,10.031000872835088,0,0.4725791942333475,-0.10975961821464962,-0.09771246732859061,0.2725724079897336,0.021700107482164454,1,22720
1964,Hilda,3620,37,1,7.65625,3,950,150,3.6375861597263857,8.194229304819817,0,-0.3737238017265433,0.8281862101650826,0.7009807438790078,0.7928121308533879,0.7739930282991594,1,3620
1964,Isbell,1120,3,1,8.3125,2,974,125,1.3862943611198906,7.02108396428914,0,-0.48449644517679075,-0.10975961821464962,-0.49705907293238977,-0.02006243612107195,-0.2089603757560371,1,1120
1965,Betsy,21250,75,1,9,3,948,155,4.330733340286331,9.964112174352563,0,0.407444879884602,0.8281862101650826,0.8008173952799575,0.9553870442482798,0.8614635498977733,1,21250
1966,Alma,1120,6,1,7.15625,2,982,125,1.9459101490553132,7.02108396428914,0,-0.48449644517679075,-0.10975961821464962,-0.8964056785361889,-0.02006243612107195,-0.3420759109573035,1,1120
1966,Inez,120,3,1,6.46875,1,983,150,1.3862943611198906,4.787491742782046,0,-0.5288055025568897,-1.0477054465943818,-0.9463240042366639,0.7928121308533879,-0.40040577332588595,1,120
1967,Beulah,7010,15,1,6.34375,3,950,162,2.772588722239781,8.855092980028635,0,-0.2235160972080077,0.8281862101650826,0.7009807438790078,1.1829919230011285,0.9040529590150731,1,7010
